district_id;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
14523;616.1;1;621.8;222666;4.6;25.1
14524;599.4;1.2;364.8;310838;4.9;25.3
14612;411.9;1.3;208.8;563311;16.8;17.6
14625;611.5;0.9;382.7;297711;4.3;31.4
14626;575.6;0.7;542.7;249681;4.9;32.5
14627;578.5;1;351.6;241343;6;29.8
14628;588.3;1;365.1;246204;5.3;31.9
14713;380.3;1.5;221.8;616093;18.5;13.3
14729;597.9;1.2;355.8;260429;5.9;24
14730;587;1;476.2;199824;4.6;27.2
15001;527.2;1.1;228.5;79655;7.3;17.5
15002;395.5;1.2;209.7;242083;14.9;13.8
15003;468.9;1.3;242.6;239364;11.9;14
15081;617.6;1.1;1455.5;82457;5.6;17.7
15082;591;0.8;702.2;157235;4.2;22.1
15083;623.9;1;887.3;171393;4.8;20.7
15084;578.2;0.8;567;177212;4;25
15085;589.8;1.2;367.8;210381;5.7;17.8
15086;604;1;632.7;90256;5.3;19.1
15087;604.6;0.9;495.8;132034;3;24
15088;627.4;0.9;401;183974;4.6;23.6
15089;565.7;0.8;530.1;186420;4;21.7
15090;579.3;0.9;1563.4;110291;5.3;20.2
15091;610.8;0.8;1023.6;123888;4.8;19.9
16051;460.7;1.6;243.4;214969;12.5;16.5
16052;491.5;1.2;259.9;93634;5.3;27.2
16053;408;1.6;255.8;111191;19.2;11.7
16054;543.4;1.3;282.6;37009;5;22.5
16055;467.6;1.7;178.4;65620;16.5;14.3
16061;608.7;1.5;788.4;100091;5.4;19.7
16062;576.2;0.9;392;82444;5.1;22
16063;597.9;1.1;407.6;159539;5;24.3
16064;559;1.3;448.7;102256;4.5;24.7
16065;601.5;0.9;566.4;73690;3.2;26.9
16066;616.1;1;628.5;123939;4.6;25.5
16067;568.6;1.1;341.6;134941;5.1;25.8
16068;583.8;1;656.3;69646;4.1;27
16069;633.6;1;1208.6;61926;3.4;28.8
16070;553.4;1.5;418.4;106776;6.6;26.2
16071;586.7;1.2;711.1;83179;5.4;24.8
16072;612.5;0.9;568.3;56922;4.1;28
16073;594.7;1;505.4;101494;4.3;29.5
16074;598;1.2;677.7;83234;5.5;24.5
16075;637.4;0.8;1057.1;79178;3.7;30.4
16076;624.2;0.9;685.9;96381;4.1;27.7
16077;579.5;0.8;574.3;88787;3.9;29.5
